
排名,名称,链接,星级,评分,评价人数
82,七宗罪,https://movie.douban.com/subject/1292223/,4.5,8.8,746680
83,心灵捕手,https://movie.douban.com/subject/1292656/,4.5,8.9,537431
84,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,4.5,8.9,678694
85,春光乍泄,https://movie.douban.com/subject/1292679/,4.5,8.9,479677
86,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,4.5,8.9,569018
87,摩登时代,https://movie.douban.com/subject/1294371/,4.5,9.3,217573
88,阿凡达,https://movie.douban.com/subject/1652587/,4.5,8.7,1011097
89,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,4.5,8.9,587698
90,喜剧之王,https://movie.douban.com/subject/1302425/,4.5,8.8,726396
91,剪刀手爱德华,https://movie.douban.com/subject/1292370/,4.5,8.7,851309
92,勇敢的心,https://movie.douban.com/subject/1294639/,4.5,8.9,467442
93,致命ID,https://movie.douban.com/subject/1297192/,4.5,8.8,609456
94,加勒比海盗,https://movie.douban.com/subject/1298070/,4.5,8.8,674603
95,杀人回忆,https://movie.douban.com/subject/1300299/,4.5,8.8,512397
96,天使爱美丽,https://movie.douban.com/subject/1292215/,4.5,8.7,808259
97,狩猎,https://movie.douban.com/subject/6985810/,4.5,9.1,280104
98,断背山,https://movie.douban.com/subject/1418834/,4.5,8.8,566582
99,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,4.5,8.9,502050
100,7号房的礼物,https://movie.douban.com/subject/10777687/,4.5,8.9,409331
101,红辣椒,https://movie.douban.com/subject/1865703/,4.5,9.0,314716
102,幽灵公主,https://movie.douban.com/subject/1297359/,4.5,8.9,417365
103,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,4.5,9.0,323840
104,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,4.5,8.8,481259
105,第六感,https://movie.douban.com/subject/1297630/,4.5,8.9,420588
106,重庆森林,https://movie.douban.com/subject/1291999/,4.5,8.7,608734
107,入殓师,https://movie.douban.com/subject/2149806/,4.5,8.9,465412
108,小森林 冬春篇,https://movie.douban.com/subject/25814707/,4.5,9.0,288091
109,消失的爱人,https://movie.douban.com/subject/21318488/,4.5,8.7,689191
110,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,4.5,8.6,793601
111,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,4.5,8.8,464253
112,一一,https://movie.douban.com/subject/1292434/,4.5,9.0,272478
113,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,4.5,8.8,550909
114,菊次郎的夏天,https://movie.douban.com/subject/1293359/,4.5,8.8,428646
115,超脱,https://movie.douban.com/subject/5322596/,4.5,8.9,361511
116,侧耳倾听,https://movie.douban.com/subject/1297052/,4.5,8.9,353176
117,倩女幽魂,https://movie.douban.com/subject/1297447/,4.5,8.7,558922
118,无人知晓,https://movie.douban.com/subject/1292337/,4.5,9.1,216074
119,超能陆战队,https://movie.douban.com/subject/11026735/,4.5,8.7,766396
120,甜蜜蜜,https://movie.douban.com/subject/1305164/,4.5,8.8,398709
121,玛丽和马克思,https://movie.douban.com/subject/3072124/,4.5,8.9,348911
122,萤火之森,https://movie.douban.com/subject/5989818/,4.5,8.9,387733
123,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,4.5,8.8,417335
124,功夫,https://movie.douban.com/subject/1291543/,4.5,8.6,751458
125,告白,https://movie.douban.com/subject/4268598/,4.5,8.7,559898
126,驯龙高手,https://movie.douban.com/subject/2353023/,4.5,8.7,586673
127,大鱼,https://movie.douban.com/subject/1291545/,4.5,8.8,446392
128,人生果实,https://movie.douban.com/subject/26874505/,5,9.5,115576
129,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,4.5,8.8,390030
130,阳光姐妹淘,https://movie.douban.com/subject/4917726/,4.5,8.8,482144
131,幸福终点站,https://movie.douban.com/subject/1292274/,4.5,8.8,417800
132,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,4.5,8.7,500204
133,完美的世界,https://movie.douban.com/subject/1300992/,4.5,9.1,204810
134,恐怖直播,https://movie.douban.com/subject/21360417/,4.5,8.8,492621
135,怪兽电力公司,https://movie.douban.com/subject/1291579/,4.5,8.7,497540
136,天书奇谭,https://movie.douban.com/subject/1428581/,4.5,9.2,169474
137,神偷奶爸,https://movie.douban.com/subject/3287562/,4.5,8.6,751344
138,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,4.5,8.7,454937
139,玩具总动员3,https://movie.douban.com/subject/1858711/,4.5,8.8,385490
140,傲慢与偏见,https://movie.douban.com/subject/1418200/,4.5,8.6,592355
141,血战钢锯岭,https://movie.douban.com/subject/26325320/,4.5,8.7,619277
142,教父3,https://movie.douban.com/subject/1294240/,4.5,8.9,267293
143,时空恋旅人,https://movie.douban.com/subject/10577869/,4.5,8.7,430671
144,釜山行,https://movie.douban.com/subject/25986180/,4.5,8.5,889030
145,哪吒闹海,https://movie.douban.com/subject/1307315/,4.5,9.1,191189
146,风之谷,https://movie.douban.com/subject/1291585/,4.5,8.9,293752
147,哈利·波特与密室,https://movie.douban.com/subject/1296996/,4.5,8.7,477092
148,被解救的姜戈,https://movie.douban.com/subject/6307447/,4.5,8.7,465502
149,电锯惊魂,https://movie.douban.com/subject/1417598/,4.5,8.7,391086
150,喜宴,https://movie.douban.com/subject/1303037/,4.5,8.9,258609
151,七武士,https://movie.douban.com/subject/1295399/,4.5,9.3,144673
152,上帝之城,https://movie.douban.com/subject/1292208/,4.5,8.9,241434
153,我是山姆,https://movie.douban.com/subject/1306861/,4.5,8.9,236563
154,头号玩家,https://movie.douban.com/subject/4920389/,4.5,8.7,1078563
155,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,4.5,8.9,305945
156,英雄本色,https://movie.douban.com/subject/1297574/,4.5,8.7,391364
157,谍影重重3,https://movie.douban.com/subject/1578507/,4.5,8.8,330102
158,岁月神偷,https://movie.douban.com/subject/3792799/,4.5,8.7,480574
159,纵横四海,https://movie.douban.com/subject/1295409/,4.5,8.8,312652
160,三块广告牌,https://movie.douban.com/subject/26611804/,4.5,8.7,642143
161,疯狂原始人,https://movie.douban.com/subject/1907966/,4.5,8.7,659436
162,达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,4.5,8.8,346648
163,卢旺达饭店,https://movie.douban.com/subject/1291822/,4.5,8.9,232077
164,心迷宫,https://movie.douban.com/subject/25917973/,4.5,8.7,378845
165,未麻的部屋,https://movie.douban.com/subject/1395091/,4.5,9.0,212910
166,记忆碎片,https://movie.douban.com/subject/1304447/,4.5,8.6,478203
167,花样年华,https://movie.douban.com/subject/1291557/,4.5,8.7,440615
168,模仿游戏,https://movie.douban.com/subject/10463953/,4.5,8.7,468585
169,你的名字。,https://movie.douban.com/subject/26683290/,4,8.4,1062007
170,黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,4.5,8.8,325006
171,荒蛮故事,https://movie.douban.com/subject/24750126/,4.5,8.8,325124
172,新世界,https://movie.douban.com/subject/10437779/,4.5,8.8,266862
173,萤火虫之墓,https://movie.douban.com/subject/1293318/,4.5,8.7,336720
174,忠犬八公物语,https://movie.douban.com/subject/1959195/,4.5,9.2,143837
175,爆裂鼓手,https://movie.douban.com/subject/25773932/,4.5,8.7,431404
176,贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,4.5,8.6,597691
